ID,CODE,NAME,CREATE_DATE,UPDATE_DATE,CREATE_USER,UPDATE_USER,SWIFT_CODE,BANK_CODE,ISACTIVE
1,1,T.C.MERKEZ BANKASI A.S.,2010-09-01,2010-09-01,tekir,tekir,TCMBX,1,FALSE
2,4,ILLER BANKASI,2010-09-01,2010-09-01,tekir,tekir,ILX,4,FALSE
3,10,T.C. ZIRAAT BANKASI,2010-09-01,2010-09-01,tekir,tekir,TCZBTR2A,10,TRUE
4,12,T.HALK BANKASI A.S.,2010-09-01,2010-09-01,tekir,tekir,TRHBTR2A,12,TRUE
5,14,T.SINAI KALKINMA BANKASI A.S.,2010-09-01,2010-09-01,tekir,tekir,TSKBTRIS,14,FALSE
6,15,T.VAKIFLAR BANKASI T.A.O.,2010-09-01,2010-09-01,tekir,tekir,TVBATR2A,15,TRUE
7,16,T.IHRACAT KREDI BAN.A.S.(EXIMB,2010-09-01,2010-09-01,tekir,tekir,TIKBTR2A,16,FALSE
8,17,T.KALKINMA BANKASI A.S.,2010-09-01,2010-09-01,tekir,tekir,TKBNTR2A,17,FALSE
9,29,BIRLESIK FON BANKASI A.S.     ,2010-09-01,2010-09-01,tekir,tekir,BAYDTRIS,29,FALSE
10,32,TURK EKONOMI BANKASI A.S.,2010-09-01,2010-09-01,tekir,tekir,TEBUTRIS,32,FALSE
11,46,AKBANK T.A.S.,2010-09-01,2010-09-01,tekir,tekir,AKBKTRIS,46,TRUE
12,59,SEKERBANK T.A.S.,2010-09-01,2010-09-01,tekir,tekir,SEKETR2A,59,FALSE
13,62,T.GARANTI BANKASI A.S.,2010-09-01,2010-09-01,tekir,tekir,TGBATRIS,62,TRUE
14,64,T.IS BANKASI A.S.,2010-09-01,2010-09-01,tekir,tekir,ISBKTRIS,64,TRUE
15,67,YAPI VE KREDI BANKASI A.S.,2010-09-01,2010-09-01,tekir,tekir,YAPITRISFEX,67,TRUE
16,71,FORTIS BANK A.S.              ,2010-09-01,2010-09-01,tekir,tekir,DISBTRIS,71,FALSE
17,87,BANCO DI ROMA IST.MERK.SB.,2010-09-01,2010-09-01,tekir,tekir,ROX,87,FALSE
18,88,ABN AMRO BANK,2010-09-01,2010-09-01,tekir,tekir,ABNATRIS,88,FALSE
19,91,ARAP TURK BANKASI A.S.,2010-09-01,2010-09-01,tekir,tekir,ATUBTRIS,91,FALSE
20,92,CITIBANK A.S.,2010-09-01,2010-09-01,tekir,tekir,CITITRIX,92,FALSE
21,96,TURKISH BANK A.S.,2010-09-01,2010-09-01,tekir,tekir,TUBATRIS,96,FALSE
22,98,JP MORGAN CHASE BANK NA MERK C,2010-09-01,2010-09-01,tekir,tekir,CHASTRIS,98,FALSE
23,99,ING BANK,2010-09-01,2010-09-01,tekir,tekir,INGBTRIS,99,FALSE
24,100,ADABANK A.S.,2010-09-01,2010-09-01,tekir,tekir,ADABTRIS,100,FALSE
25,103,MILLENNIUM BANK A.S.,2010-09-01,2010-09-01,tekir,tekir,BCOMTRIS,103,FALSE
26,106,WESTDEUTSCHE LANDESBANK EUROPA,2010-09-01,2010-09-01,tekir,tekir,WELATRIS,106,FALSE
27,108,TURKLAND BANK A.S.            ,2010-09-01,2010-09-01,tekir,tekir,TBNKTRIS,108,FALSE
28,109,TEKSTIL BANKASI A.S.,2010-09-01,2010-09-01,tekir,tekir,TEKBTRIS,109,FALSE
29,111,FINANSBANK A.S.,2010-09-01,2010-09-01,tekir,tekir,FNNBTRIS,111,FALSE
30,115,DEUTSCHE BANK AS,2010-09-01,2010-09-01,tekir,tekir,BKTRTRIS,115,FALSE
