ID,CODE,NAME,SYSTEM,ISACTIVE,WEIGHT,PLATE,COUNTRY
1,ADN,ADANA,FALSE,TRUE,10,1,TÜRKİYE
2,ADY,ADIYAMAN,FALSE,TRUE,10,2,TÜRKİYE
3,AFY,AFYONKARAHİSAR,FALSE,TRUE,20,3,TÜRKİYE
4,AĞR,AĞRI,FALSE,TRUE,30,4,TÜRKİYE
5,AKS,AKSARAY,FALSE,TRUE,40,68,TÜRKİYE
6,AMS,AMASYA,FALSE,TRUE,50,5,TÜRKİYE
7,ANK,ANKARA,FALSE,TRUE,5,6,TÜRKİYE
8,ANT,ANTALYA,FALSE,TRUE,70,7,TÜRKİYE
9,ARD,ARDAHAN,FALSE,TRUE,80,75,TÜRKİYE
10,ART,ARTVİN,FALSE,TRUE,90,8,TÜRKİYE
11,AYD,AYDIN,FALSE,TRUE,100,9,TÜRKİYE
12,BAL,BALIKESİR,FALSE,TRUE,110,10,TÜRKİYE
13,BRT,BARTIN,FALSE,TRUE,120,74,TÜRKİYE
14,BTM,BATMAN,FALSE,TRUE,130,72,TÜRKİYE
15,BAY,BAYBURT,FALSE,TRUE,140,69,TÜRKİYE
16,BİL,BİLECİK,FALSE,TRUE,150,11,TÜRKİYE
17,BİN,BİNGÖL,FALSE,TRUE,160,12,TÜRKİYE
18,BTL,BİTLİS,FALSE,TRUE,170,13,TÜRKİYE
19,BOL,BOLU,FALSE,TRUE,180,14,TÜRKİYE
20,BRD,BURDUR,FALSE,TRUE,190,15,TÜRKİYE
21,BUR,BURSA,FALSE,TRUE,200,16,TÜRKİYE
22,ÇNK,ÇANAKKALE,FALSE,TRUE,210,17,TÜRKİYE
23,ÇNR,ÇANKIRI,FALSE,TRUE,220,18,TÜRKİYE
24,ÇOR,ÇORUM,FALSE,TRUE,230,19,TÜRKİYE
25,DEN,DENİZLİ,FALSE,TRUE,240,20,TÜRKİYE
26,DİY,DİYARBAKIR,FALSE,TRUE,250,21,TÜRKİYE
27,DÜZ,DÜZCE,FALSE,TRUE,260,81,TÜRKİYE
28,EDR,EDİRNE,FALSE,TRUE,270,22,TÜRKİYE
29,ELZ,ELAZIĞ,FALSE,TRUE,280,23,TÜRKİYE
30,ERC,ERZİNCAN,FALSE,TRUE,290,24,TÜRKİYE
31,ERZ,ERZURUM,FALSE,TRUE,300,25,TÜRKİYE
32,ESK,ESKİŞEHİR,FALSE,TRUE,310,26,TÜRKİYE
33,GAN,GAZİANTEP,FALSE,TRUE,320,27,TÜRKİYE
34,GİR,GİRESUN,FALSE,TRUE,330,28,TÜRKİYE
35,GÜM,GÜMÜŞHANE,FALSE,TRUE,340,29,TÜRKİYE
36,HKK,HAKKARİ,FALSE,TRUE,350,30,TÜRKİYE
37,HTY,HATAY,FALSE,TRUE,360,31,TÜRKİYE
38,IĞD,IĞDIR,FALSE,TRUE,370,76,TÜRKİYE
39,ISP,ISPARTA,FALSE,TRUE,380,32,TÜRKİYE
40,İST,İSTANBUL,FALSE,TRUE,3,34,TÜRKİYE
41,İZM,İZMİR,FALSE,TRUE,6,35,TÜRKİYE
42,MRŞ,KAHRAMANMARAŞ,FALSE,TRUE,410,46,TÜRKİYE
43,KRB,KARABÜK,FALSE,TRUE,420,78,TÜRKİYE
44,KRM,KARAMAN,FALSE,TRUE,430,70,TÜRKİYE
45,KRS,KARS,FALSE,TRUE,440,36,TÜRKİYE
46,KAS,KASTAMONU,FALSE,TRUE,450,37,TÜRKİYE
47,KYS,KAYSERİ,FALSE,TRUE,460,38,TÜRKİYE
48,KRK,KIRIKKALE,FALSE,TRUE,470,71,TÜRKİYE
49,KRL,KIRKLARELİ,FALSE,TRUE,480,39,TÜRKİYE
50,KSH,KIRŞEHİR,FALSE,TRUE,490,40,TÜRKİYE
51,KİL,KİLİS,FALSE,TRUE,500,79,TÜRKİYE
52,KOC,KOCAELİ,FALSE,TRUE,510,41,TÜRKİYE
53,KON,KONYA,FALSE,TRUE,520,42,TÜRKİYE
54,KTY,KÜTAHYA,FALSE,TRUE,530,43,TÜRKİYE
55,MAL,MALATYA,FALSE,TRUE,540,44,TÜRKİYE
56,MAN,MANİSA,FALSE,TRUE,550,45,TÜRKİYE
57,MAR,MARDİN,FALSE,TRUE,560,47,TÜRKİYE
58,İÇL,İÇEL,FALSE,TRUE,570,33,TÜRKİYE
59,MUĞ,MUĞLA,FALSE,TRUE,580,48,TÜRKİYE
60,MUŞ,MUŞ,FALSE,TRUE,590,49,TÜRKİYE
61,NEV,NEVŞEHİR,FALSE,TRUE,600,50,TÜRKİYE
62,NİĞ,NİĞDE,FALSE,TRUE,610,51,TÜRKİYE
63,ORD,ORDU,FALSE,TRUE,620,52,TÜRKİYE
64,OSM,OSMANİYE,FALSE,TRUE,630,80,TÜRKİYE
65,RİZ,RİZE,FALSE,TRUE,640,53,TÜRKİYE
66,SAK,SAKARYA,FALSE,TRUE,650,54,TÜRKİYE
67,SAM,SAMSUN,FALSE,TRUE,660,55,TÜRKİYE
68,SRT,SİİRT,FALSE,TRUE,670,56,TÜRKİYE
69,SİN,SİNOP,FALSE,TRUE,680,57,TÜRKİYE
70,SİV,SİVAS,FALSE,TRUE,690,58,TÜRKİYE
71,URF,ŞANLIURFA,FALSE,TRUE,700,63,TÜRKİYE
72,ŞRN,ŞIRNAK,FALSE,TRUE,710,73,TÜRKİYE
73,TKD,TEKİRDAĞ,FALSE,TRUE,720,59,TÜRKİYE
74,TOK,TOKAT,FALSE,TRUE,730,60,TÜRKİYE
75,TRB,TRABZON,FALSE,TRUE,740,61,TÜRKİYE
76,TUN,TUNCELİ,FALSE,TRUE,750,62,TÜRKİYE
77,UŞK,UŞAK,FALSE,TRUE,760,64,TÜRKİYE
78,VAN,VAN,FALSE,TRUE,770,65,TÜRKİYE
79,YAL,YALOVA,FALSE,TRUE,780,77,TÜRKİYE
80,YOZ,YOZGAT,FALSE,TRUE,790,66,TÜRKİYE
81,ZON,ZONGULDAK,FALSE,TRUE,800,67,TÜRKİYE
82,İSN,İSTANBUL (AND),FALSE,FALSE,4,34,TÜRKİYE
99,YOK,BİLİNMİYOR,FALSE,TRUE,999,999,TÜRKİYE
