ID,CODE,NAME,COUNTRY,PIP,ISACTIVE,DECIMAL_CODE
1,TL,TÜRK LİRASI,TÜRKİYE,1,TRUE,KR
2,USD,AMERİKAN DOLARI,AMERİKA BİRLEŞİK DEVLETLERİ,1,TRUE,c
3,EUR,EURO,AVRUPA BİRLİĞİ,1,TRUE,c
4,GBP,STERLİN,İNGİLTERE,1,TRUE,p
5,CAD,KANADA DOLARI,KANADA,1,FALSE,
6,DKK,DANİMARKA KRONU,DANİMARKA,1,FALSE,
7,SEK,İSVEÇ KRONU,İSVEÇ,1,FALSE,
8,CHF,İSVİÇRE FRANGI,İSVİÇRE,1,FALSE,
9,NOK,NORVEÇ KRONU,NORVEÇ,1,FALSE,
10,JPY,JAPON YENİ,JAPONYA,100,FALSE,
11,SAR,SUUDİ ARAB. RİYALİ,SUUDİ ARABİSTAN,1,FALSE,
12,KWD,KUVEYT DİNARI,KUVEYT,1,FALSE,
13,AUD,AVUSTRALYA DOLARI,AVUSTRALYA,1,FALSE,
14,RON,YENİ RUMEN LEYİ,ROMANYA,1,FALSE,
15,IRR,İRAN RİYALİ,İRAN,100,FALSE,
16,SYP,SURİYE LİRASI,SURİYE,1,FALSE,
17,JOD,ÜRDÜN DİNARI,ÜRDÜN,1,FALSE,
18,BGL,BULGAR LEVASI,BULGARİSTAN,1,FALSE,
19,ILS,İSRAİL ŞEKELİ,İSRAİL,1,FALSE,
