ID,USER_NAME,OP_VALUE,OPKEY
1,SYSTEM,tr_TR,base.Lang
2,SYSTEM,UTF-8,base.Encode
3,SYSTEM,MaviBuz,base.Thema
10,SYSTEM,TRL,default.CCY
11,SYSTEM,MERKEZ,default.Account
12,SYSTEM,MERKEZ,default.Warehouse
20,SYSTEM,Tekir Ticari Otomasyon,company.Name
21,SYSTEM,Şirket Unvanı,company.Title
22,SYSTEM,Vergi Dairesi,company.TaxOffice
23,SYSTEM,Sicil No,company.TaxNumber
24,SYSTEM,Resmi Adres,company.Address
30,SYSTEM,AF,serial.invoice.Purchase
31,SYSTEM,SF,serial.invoice.Sale
32,SYSTEM,AI,serial.shipment.Purchase
33,SYSTEM,SI,serial.shipment.Sale
34,SYSTEM,DSI,serial.shipment.Transfer
35,SYSTEM,KS,serial.fund.Transfer
36,SYSTEM,TH,serial.fund.Collection
37,SYSTEM,TD,serial.fund.Payment
38,SYSTEM,CV,serial.fund.DebitCredit
40,SYSTEM,AA,reference.invoice.Purchase
41,SYSTEM,AA,reference.invoice.Sale
42,SYSTEM,AA,reference.shipment.Purchase
43,SYSTEM,AA,reference.shipment.Sale
44,SYSTEM,AA,reference.shipment.Transfer
45,SYSTEM,AA,reference.fund.Transfer
46,SYSTEM,AA,reference.fund.Collection
47,SYSTEM,AA,reference.fund.Payment
48,SYSTEM,AA,reference.fund.DebitCredit
49,SYSTEM,ST,serial.stock.ProductVirement
50,SYSTEM,ADF,serial.debitcreditnote.Collection
51,SYSTEM,BDF,serial.debitcreditnote.Payment
52,SYSTEM,BCT,serial.banktocontact.Transfer
53,SYSTEM,BKT,serial.banktoaccount.Transfer
54,SYSTEM,BBT,serial.banktobank.Transfer
55,SYSTEM,VH,serial.finance.DepositAccount
56,SYSTEM,BS,serial.bond.Sale
57,SYSTEM,BA,serial.bond.Purchase
58,SYSTEM,PT,serial.finance.PortfolioToPortfolio
59,SYSTEM,POY,default.Portfolio
60,SYSTEM,CTH,serial.chequeToBankPayroll
61,SYSTEM,CC,serial.chequeToContactPayroll
62,SYSTEM,AS,reference.order.Purchase
63,SYSTEM,SS,reference.order.Sale
64,SYSTEM,SP,serial.order.Purchase
65,SYSTEM,SP,serial.order.Sale
66,SYSTEM,STH,serial.promissoryToBankPayroll
67,SYSTEM,SC,serial.promissoryToContactPayroll
71,SYSTEM,CK,serial.cards.Contact
72,SYSTEM,SK,serial.cards.Stock
73,SYSTEM,HK,serial.cards.Service
74,SYSTEM,CBT,serial.contacttobank.Transfer
75,SYSTEM,KBT,serial.accountToBank.Transfer
76,SYSTEM,CG,serial.chequeFromContactPayroll
77,SYSTEM,CTM,serial.chequeToBankAssurancePayroll
78,SYSTEM,CTE,serial.chequeCollectedAtBankPayroll
79,SYSTEM,CKT,serial.chequeToAccountCollectionPayroll
80,SYSTEM,CKO,serial.chequeToAccountPaymentPayroll
81,SYSTEM,CKO,serial.chequeToBankPaymentPayroll
82,SYSTEM,SG,serial.promissoryFromContactPayroll
83,SYSTEM,STM,serial.promissoryToBankAssurancePayroll
84,SYSTEM,STE,serial.promissoryCollectedAtBankPayroll
85,SYSTEM,SKT,serial.promissoryToAccountCollectionPayroll
86,SYSTEM,SKO,serial.promissoryToAccountPaymentPayroll
87,SYSTEM,SBO,serial.promissoryToBankPaymentPayroll
88,SYSTEM,TE,serial.tender
89,SYSTEM,AA,serial.Cheque
