ID,NAME,SYSTEM,ISACTIVE,weight,PLATE,CITY_ID
1111,ALADAĞ,FALSE,TRUE,10,1757,1
1112,CEYHAN,FALSE,TRUE,10,1219,1
1113,ÇUKUROVA,FALSE,TRUE,20,2033,1
1114,FEKE,FALSE,TRUE,30,1329,1
1115,İMAMOĞLU,FALSE,TRUE,40,1806,1
1116,KARAİSALI,FALSE,TRUE,50,1437,1
1117,KARATAŞ,FALSE,TRUE,60,1443,1
1118,KOZAN,FALSE,TRUE,70,1486,1
1119,POZANTI,FALSE,TRUE,80,1580,1
1120,SAİMBEYLİ,FALSE,TRUE,90,1588,1
1121,SARIÇAM,FALSE,TRUE,100,2032,1
1122,SEYHAN,FALSE,TRUE,110,1104,1
1123,TUFANBEYLİ,FALSE,TRUE,120,1687,1
1124,YUMURTALIK,FALSE,TRUE,130,1734,1
1125,YÜREĞİR,FALSE,TRUE,140,1748,1
1126,BESNİ,FALSE,TRUE,10,1182,2
1127,ÇELİKHAN,FALSE,TRUE,10,1246,2
1128,GERGER,FALSE,TRUE,20,1347,2
1129,GÖLBAŞI,FALSE,TRUE,30,1354,2
1130,KAHTA,FALSE,TRUE,40,1425,2
1131,SAMSAT,FALSE,TRUE,50,1592,2
1132,SİNCİK,FALSE,TRUE,60,1985,2
1133,TUT,FALSE,TRUE,70,1989,2
1134,MERKEZ,FALSE,TRUE,10,1108,3
1135,BAŞMAKÇI,FALSE,TRUE,10,1771,3
1136,BAYAT,FALSE,TRUE,20,1773,3
1137,BOLVADİN,FALSE,TRUE,30,1200,3
1138,ÇAY,FALSE,TRUE,40,1239,3
1139,ÇOBANLAR,FALSE,TRUE,50,1906,3
1140,DAZKIRI,FALSE,TRUE,60,1267,3
1141,DİNAR,FALSE,TRUE,70,1281,3
1142,EMİRDAĞ,FALSE,TRUE,80,1306,3
1143,EVCİLER,FALSE,TRUE,90,1923,3
1144,HOCALAR,FALSE,TRUE,100,1944,3
1145,İHSANİYE,FALSE,TRUE,110,1404,3
1146,İSCEHİSAR,FALSE,TRUE,120,1809,3
1147,KIZILÖREN,FALSE,TRUE,130,1961,3
1148,SANDIKLI,FALSE,TRUE,140,1594,3
1149,SİNANPAŞA,FALSE,TRUE,150,1626,3
1150,SULTANDAĞI,FALSE,TRUE,160,1639,3
1151,ŞUHUT,FALSE,TRUE,170,1664,3
1152,MERKEZ,FALSE,TRUE,10,1111,4
1153,DİYADİN,FALSE,TRUE,10,1283,4
1154,DOĞUBAYAZIT,FALSE,TRUE,20,1287,4
1155,ELEŞKİRT,FALSE,TRUE,30,1301,4
1156,HAMUR,FALSE,TRUE,40,1379,4
1157,PATNOS,FALSE,TRUE,50,1568,4
1158,TAŞLIÇAY,FALSE,TRUE,60,1667,4
1159,TUTAK,FALSE,TRUE,70,1691,4
1160,AĞAÇÖREN,FALSE,TRUE,10,1860,5
1161,MERKEZ,FALSE,TRUE,10,1120,5
1162,ESKİL,FALSE,TRUE,20,1921,5
1163,GÜLAĞAÇ,FALSE,TRUE,30,1932,5
1164,GÜZELYURT,FALSE,TRUE,40,1861,5
1165,ORTAKÖY,FALSE,TRUE,50,1557,5
1166,SARIYAHŞİ,FALSE,TRUE,60,1866,5
1167,MERKEZ,FALSE,TRUE,10,1134,6
1168,GÖYNÜCEK,FALSE,TRUE,10,1363,6
1169,GÜMÜŞHACIKÖY,FALSE,TRUE,20,1368,6
1170,HAMAMÖZÜ,FALSE,TRUE,30,1938,6
1171,MERZİFON,FALSE,TRUE,40,1524,6
1172,SULUOVA,FALSE,TRUE,50,1641,6
1173,TAŞOVA,FALSE,TRUE,60,1668,6
1174,AKYURT,FALSE,TRUE,10,1872,7
1175,ALTINDAĞ,FALSE,TRUE,10,1130,7
1176,AYAŞ,FALSE,TRUE,20,1157,7
1177,BALA,FALSE,TRUE,30,1167,7
1178,BEYPAZARI,FALSE,TRUE,40,1187,7
1179,ÇAMLIDERE,FALSE,TRUE,50,1227,7
1180,ÇANKAYA,FALSE,TRUE,60,1231,7
1181,ÇUBUK,FALSE,TRUE,70,1260,7
1182,ELMADAĞ,FALSE,TRUE,80,1302,7
1183,ETİMESGUT,FALSE,TRUE,90,1922,7
1184,EVREN,FALSE,TRUE,100,1924,7
1185,GÖLBAŞI,FALSE,TRUE,110,1744,7
1186,GÜDÜL,FALSE,TRUE,120,1365,7
1187,HAYMANA,FALSE,TRUE,130,1387,7
1188,KALECİK,FALSE,TRUE,140,1427,7
1189,KAZAN,FALSE,TRUE,150,1815,7
1190,KEÇİÖREN,FALSE,TRUE,160,1745,7
1191,KIZILCAHAMAM,FALSE,TRUE,170,1473,7
1192,MAMAK,FALSE,TRUE,180,1746,7
1193,NALLIHAN,FALSE,TRUE,190,1539,7
1194,POLATLI,FALSE,TRUE,200,1578,7
1195,PURSAKLAR,FALSE,TRUE,210,2034,7
1196,SİNCAN,FALSE,TRUE,220,1747,7
1197,ŞEREFLİKOÇHİSAR,FALSE,TRUE,230,1658,7
1198,YENİMAHALLE,FALSE,TRUE,240,1723,7
1199,AKSEKİ,FALSE,TRUE,10,1121,8
1200,AKSU,FALSE,TRUE,10,2035,8
1201,ALANYA,FALSE,TRUE,20,1126,8
1202,MERKEZ,FALSE,TRUE,30,1138,8
1203,DEMRE,FALSE,TRUE,40,1811,8
1204,DÖŞEMEALTI,FALSE,TRUE,50,2036,8
1205,ELMALI,FALSE,TRUE,60,1303,8
1206,FİNİKE,FALSE,TRUE,70,1333,8
1207,GAZİPAŞA,FALSE,TRUE,80,1337,8
1208,GÜNDOĞMUŞ,FALSE,TRUE,90,1370,8
