ID,BEGIN_DATE,END_DATE,KIND,RATE,LCYVAL,CCY,CCYVAL,WITHHOLDING_KIND,WITHHOLDING_AMOUNT,WITHHOLDING_RATE,TAX_ID
1,2000-01-01,2023-12-31,0,1,0,TL,0,NULL,0,0,1
2,2000-01-01,2023-12-31,0,8,0,TL,0,NULL,0,0,2
3,2000-01-01,2023-12-31,0,18,0,TL,0,NULL,0,0,3
4,2000-01-01,2023-12-31,0,24,0,TL,0,NULL,0,0,4
5,2000-01-01,2023-12-31,0,0,0,TL,0,NULL,0,0,5
6,2000-01-01,2023-12-31,0,5,0,TL,0,NULL,0,0,6
7,2000-01-01,2023-12-31,0,15,0,TL,0,NULL,0,0,7
8,2000-01-01,2023-12-31,0,25,0,TL,0,NULL,0,0,8
9,2000-01-01,2023-12-31,0,0,0,TL,0,NULL,0,0,9
10,2000-01-01,2023-12-31,0,10,0,TL,0,NULL,0,0,10
11,2000-01-01,2023-12-31,0,17,0,TL,0,NULL,0,0,11
12,2000-01-01,2023-12-31,0,20,0,TL,0,NULL,0,0,12
13,2000-01-01,2023-12-31,0,22,0,TL,0,NULL,0,0,13
